,0
1653,40078
1654,78419
1655,24828
1656,99758
1657,26165
1658,195522
1659,84763
1660,40068
1661,21374
1662,145836
1663,22475
1664,21327
1665,26737
1666,178581
1667,180687
1668,80728
1669,25685
1670,88842
1671,218655
1672,40191
1673,21426
1674,100580
1675,21972
1676,208698
1677,24220
1678,34664
1679,88369
1680,155816
1681,179401
1682,40422
1683,98788
1684,115283
1685,21443
1686,144654
1687,201595
1688,176131
1689,24203
1690,100209
1691,105604
1692,133367
1693,20219
1694,20235
1695,165734
1696,80699
1697,26755
1698,120099
1699,166760
1700,198448
1701,186
1702,67566
1703,123333
1704,84249
1705,180699
1706,26229
1707,101634
1708,24585
1709,69038
1710,170015
1711,190164
1712,113801
1713,25209
1714,87122
1715,163389
1716,24192
1717,102174
1718,203475
1719,57232
1720,144997
1721,201589
1722,130418
1723,20920
1724,26033
1725,172820
1726,24552
1727,165157
1728,24848
1729,123548
1730,56927
1731,21442
1732,109919
1733,80415
1734,31294
1735,220191
1736,176840
1737,85847
1738,24701
1739,113823
1740,2117
1741,26909
1742,20702
1743,26068
1744,25182
1745,89814
1746,233788
1747,171088
1748,100951
1749,22639
1750,25187
1751,174702
1752,26825
1753,24677
1754,66631
1755,24859
1756,80556
1757,175092
1758,193710
1759,26758
1760,24826
1761,20199
1762,210736
1763,25212
1764,20633
1765,23227
1766,21788
1767,173178
1768,24700
1769,163022
1770,30180
1771,84642
1772,80679
1773,40370
1774,24523
1775,216901
1776,57408
1777,84509
1778,26154
1779,56930
1780,121244
1781,125467
1782,20964
1783,65874
1784,166478
1785,21369
1786,200382
1787,24251
1788,84652
1789,200447
1790,20215
1791,24499
1792,166989
1793,40392
1794,153
1795,210807
1796,192142
1797,122819
1798,24118
1799,24209
1800,59036
1801,87344
1802,139729
1803,156607
1804,70560
1805,21411
1806,80529
1807,26956
1808,57253
1809,189843
1810,51173
1811,58436
1812,157510
1813,180696
1814,63827
1815,67979
1816,20921
1817,167762
1818,20288
1819,21556
1820,51500
1821,207222
1822,147046
1823,57272
1824,84266
1825,181700
1826,144729
1827,26456
1828,141087
1829,170462
1830,98769
1831,195866
1832,20697
1833,172627
1834,223963
1835,21373
1836,160668
1837,164831
1838,792
1839,97837
1840,80490
1841,26192
1842,84365
1843,177355
1844,83698
1845,166778
1846,742
1847,170305
1848,23236
1849,163745
1850,40393
1851,70030
1852,80684
1853,42530
1854,165470
1855,156248
1856,73842
1857,25959
1858,185220
1859,40511
1860,178752
1861,163810
1862,97742
1863,69834
1864,85339
1865,115055
1866,100165
1867,208678
1868,26399
1869,80774
1870,84822
1871,101435
1872,427
1873,103661
1874,145303
1875,161599
1876,193226
1877,44989
1878,26373
1879,139752
1880,42733
1881,177214
1882,170628
1883,25006
1884,151550
1885,66403
1886,100546
1887,171209
1888,104547
1889,97929
1890,20779
1891,68529
1892,27259
1893,115064
1894,76100
1895,26400
1896,21263
1897,363
1898,57482
1899,79875
1900,307
1901,56942
1902,87200
1903,26221
1904,194069
1905,78058
1906,173679
1907,40197
1908,27078
1909,40190
1910,80680
1911,102070
1912,62378
1913,27084
1914,163812
1915,173052
1916,180643
1917,123340
1918,131267
1919,166421
1920,30874
1921,183542
1922,24748
1923,171212
1924,173606
1925,492
1926,98400
1927,40473
1928,40404
1929,193199
1930,35750
1931,52032
1932,25680
1933,21553
1934,201914
1935,22401
1936,151096
1937,176722
1938,75997
1939,34786
1940,144766
1941,172876
1942,143686
1943,105153
1944,94175
1945,25093
1946,26195
1947,151896
1948,167534
1949,25180
1950,162864
1951,172845
1952,86436
1953,140099
1954,193251
1955,40526
1956,25105
1957,26274
1958,24181
1959,21388
1960,212288
1961,86621
1962,778
1963,144670
1964,117601
1965,20571
1966,20434
1967,112521
1968,26335
1969,503
1970,24580
1971,168350
1972,208379
1973,174521
1974,40549
1975,172936
1976,83052
1977,207085
1978,80145
1979,84593
1980,172805
1981,132341
1982,117489
1983,40257
1984,157785
1985,88662
1986,178061
1987,219274
1988,80817
1989,736
1990,67549
1991,166665
1992,81638
1993,86522
1994,20427
1995,40323
1996,85299
1997,24669
1998,80713
1999,101601
2000,26141
2001,31465
2002,40144
2003,165565
2004,101469
2005,90678
2006,211404
2007,186769
2008,169333
2009,33957
2010,84497
2011,99285
2012,86244
2013,24567
2014,199506
2015,123486
2016,203879
2017,26330
2018,80476
2019,27083
2020,20835
2021,24614
2022,80740
2023,123676
2024,216728
2025,99253
2026,24666
2027,153269
2028,100292
2029,166387
2030,57267
2031,40253
2032,40300
2033,201590
2034,208553
2035,65499
2036,86580
2037,195920
2038,166126
2039,20495
2040,151757
2041,80484
2042,103234
2043,57027
2044,123507
2045,26128
2046,68742
2047,26261
2048,166564
2049,120671
2050,98459
2051,2133
2052,64097
2053,70132
2054,84440
2055,25035
2056,85315
2057,20232
2058,2099
2059,40169
2060,168224
2061,125556
2062,70
2063,84717
2064,117240
2065,24345
2066,166020
2067,150188
2068,186220
2069,100772
2070,212278
2071,198008
2072,177592
2073,88482
2074,166682
2075,123337
2076,21436
2077,80467
2078,97968
